Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
HairRevive™ Anti Hair Fall Shampoo,hairrevive-anti-hair-fall-shampoo,"<p>Targeted hair ecology formula clinically proven to reduce hair fall by 89% and restore thick, voluminous density from follicular root to tip. Dermatologist-approved, hormone-safe, and salon-grade.</p><ul><li>Biotinoyl Tripeptide-1 anchors hair follicles</li><li>Organic Rosemary Extract enhances micro-circulation</li><li>Australian Kakadu Plum neutralizes oxidative stress</li><li>Aloe Vera Hydrosol balances pH to 5.2-5.5</li></ul>",KUS CULTURE,Health & Beauty > Personal Care > Hair Care > Shampoo & Conditioner,Shampoo,"Bestseller, Hair Fall, Sulfate Free, Australian Made, Clean Science, Dermatologist Approved",TRUE,active,KC-SHMP-500,935000000001,Size,500ml Trial,,,,,,,,24.99,29.99,6.50,TRUE,,,,,,shopify,100,DENY,550,g,TRUE,manual,https://lh3.googleusercontent.com/aida-public/AB6AXuBFCR5RYUEWtEvP01b_APRd4TmRQCmm8fj7LR5TxKDIlAprC8TLOJyYpDD6xW_tulRoQF95ZTZ1e6Q877YaiYcjBaPWej6RAzcP592WD7MOJcFMxzM6_l1U-8GzXNzUcHybWbYWCSmLAFSV16Zv5ZCtJswcIrt2uaOObILBILYed2uXtBbmev8dfKQY4ClNfwVb00DexL7sdyJ6HASj-qxWwTaYp7xevk3DXjpPGYL_rbxietzICsZA,1,HairRevive Anti Hair Fall Shampoo 500ml Bottle,https://lh3.googleusercontent.com/aida-public/AB6AXuBFCR5RYUEWtEvP01b_APRd4TmRQCmm8fj7LR5TxKDIlAprC8TLOJyYpDD6xW_tulRoQF95ZTZ1e6Q877YaiYcjBaPWej6RAzcP592WD7MOJcFMxzM6_l1U-8GzXNzUcHybWbYWCSmLAFSV16Zv5ZCtJswcIrt2uaOObILBILYed2uXtBbmev8dfKQY4ClNfwVb00DexL7sdyJ6HASj-qxWwTaYp7xevk3DXjpPGYL_rbxietzICsZA,FALSE,HairRevive™ Anti Hair Fall Shampoo | KUS CULTURE,Strengthen roots and reduce hair fall by up to 89% with Australian native botanicals and clinical peptides.,,Health & Beauty > Personal Care > Hair Care > Shampoo & Conditioner,Unisex,Adult (13+ years old),,,,New,FALSE,Hair Fall,Clean Science,Australian Made,,
,hairrevive-anti-hair-fall-shampoo,,,,,,,,KC-SHMP-1000,935000000002,Size,1 Liter Popular,,,,,,,,49.99,55.55,12.00,TRUE,,,,,,shopify,100,DENY,1100,g,TRUE,manual,https://lh3.googleusercontent.com/aida-public/AB6AXuDAyGZyDTaBPqqbr5mqoKMdrWI282v2mca-Nze1_lZPuIDuzO3W1rwHJ9imDLbj-VRcFnHPwjqliYxsnQn8092BdKau_BrzQz-I46onNrM1_8CIP4L3A1Ocw6fAix6C9OenDlrj-cH9C8zxk0Bttdr96oxmv5exkAVMPc4F-0Rz_rrZ8v3DEH5V8LWy7dVCFpN6dgLUJCjmLtwNhNMJ0VNd8wJ07u4Y6XTk8gfqFXm7dlpueMUE6Y_Y,2,HairRevive Anti Hair Fall Shampoo 1 Liter Pack,https://lh3.googleusercontent.com/aida-public/AB6AXuDAyGZyDTaBPqqbr5mqoKMdrWI282v2mca-Nze1_lZPuIDuzO3W1rwHJ9imDLbj-VRcFnHPwjqliYxsnQn8092BdKau_BrzQz-I46onNrM1_8CIP4L3A1Ocw6fAix6C9OenDlrj-cH9C8zxk0Bttdr96oxmv5exkAVMPc4F-0Rz_rrZ8v3DEH5V8LWy7dVCFpN6dgLUJCjmLtwNhNMJ0VNd8wJ07u4Y6XTk8gfqFXm7dlpueMUE6Y_Y,,,,,,,,,,,,,,,,,
,hairrevive-anti-hair-fall-shampoo,,,,,,,,KC-SHMP-1500,935000000003,Size,1.5 Liter Best Value,,,,,,,,84.99,106.24,20.00,TRUE,,,,,,shopify,100,DENY,1650,g,TRUE,manual,https://lh3.googleusercontent.com/aida-public/AB6AXuBIMR4jzStSYpoO2FfE5lP3y-A3A646Hw8ORRMMQkBxUzpd-7egjsrddXqsCEnHCqP4GGhX7C2QhQKfotuXlioUtVHmw-6fpsFwR8H0z5qRVc3hpIwRLyZEX1JEXjv-IoeZN9-QEKdR-B8UAoswXYImpt7lvqYegxTZ-qNH8MxNO_l-LjJHUKFw8VC17oWJUf_8uAFJ3TPtiE7-QbpERtfe6zHWpCOlEvIiqric0AYpIVIUbEH1eQbe,3,HairRevive Anti Hair Fall Shampoo 1.5 Liter Value Bundle,https://lh3.googleusercontent.com/aida-public/AB6AXuBIMR4jzStSYpoO2FfE5lP3y-A3A646Hw8ORRMMQkBxUzpd-7egjsrddXqsCEnHCqP4GGhX7C2QhQKfotuXlioUtVHmw-6fpsFwR8H0z5qRVc3hpIwRLyZEX1JEXjv-IoeZN9-QEKdR-B8UAoswXYImpt7lvqYegxTZ-qNH8MxNO_l-LjJHUKFw8VC17oWJUf_8uAFJ3TPtiE7-QbpERtfe6zHWpCOlEvIiqric0AYpIVIUbEH1eQbe,,,,,,,,,,,,,,,,,
,hairrevive-anti-hair-fall-shampoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://lh3.googleusercontent.com/aida-public/AB6AXuA5dPLbl_9AspIv7g5qv71UWpGLU9i0urV_7FJmao-Tf2CGl0JiCjkxBa38ZVMvAItOV8bImmwc1NLde_H0_LGMeX1hBSUnf6wMTG6qf9D90sxd3Jm6hocybSOu450MbOW1DWjDq811Jyk9A1TOO3ux9hX0WMA08gRy8wXKBb6ORN7-EMs8Cz5prLCLSgSt4P0sBrzSsyD6_3unVbllJ4WAKKe1cvop4egQ38OB9koIWLwOkQK57PeK,4,Shampoo Lather Foam Texture,,,,,,,,,,,,,,,,,,
,hairrevive-anti-hair-fall-shampoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://lh3.googleusercontent.com/aida-public/AB6AXuCqr6iU4TOOAPfMrnxEUwMEvrBKs6wSFoWwlI6OW5IxmWOO9XaTPl21warGA9hP8m2EPi9-75afPTkusvNNvgCCDeKDEUtKZfP1XyynorcIjZ6ApFC2_Py4X0kjxHksOLnQIwYKKYsO1HvtlEdJkNNgx0AJKQKANelFAnBjRdgkgABu4cYOZSeIH9lOM953PqOWHOWMU3G61tYdets-KxQgeih2zBGPMlySc2QQESPF8E85IP96uokb,5,Customer Unboxing Review,,,,,,,,,,,,,,,,,,
HydraGloss™ Botanical Conditioner,hydragloss-botanical-conditioner,<p>Deeply restores lipid cuticles and locks in moisture without synthetic silicones. Infused with cold-pressed Macadamia nut oil and Australian Kakadu Plum.</p>,KUS CULTURE,Health & Beauty > Personal Care > Hair Care > Shampoo & Conditioner,Conditioner,"Hydration, Hair Fall, Cuticle Balm, Silicone Free, Australian Made",TRUE,active,KC-COND-500,935000000004,Size,500ml,,,,,,,,24.99,29.99,6.50,TRUE,,,,,,shopify,100,DENY,550,g,TRUE,manual,https://lh3.googleusercontent.com/aida-public/AB6AXuA6Ch6JhvqWpjEmLKH3RnIYV5p4b0-yw8smXCXncRroeKINvitHZaaMtw5T21jm_5bBb9Ox_zkVz8z83cALejUyo1b0ZEWhe8gG98OHujcCacXGIJZZOhtYyKMMQP1EJvWTbCpVBNufggQYh6O5hC_diTEjf2J_JMyzh02gAie_3JmRG8ehCTaUk3FzGhvDDGHEhMcJ-ZfPIga7rihYyFdPLquroeRm3Fr-7kJ_0IXzH94b6OJ_qZRf,1,HydraGloss Botanical Conditioner 500ml Bottle,https://lh3.googleusercontent.com/aida-public/AB6AXuA6Ch6JhvqWpjEmLKH3RnIYV5p4b0-yw8smXCXncRroeKINvitHZaaMtw5T21jm_5bBb9Ox_zkVz8z83cALejUyo1b0ZEWhe8gG98OHujcCacXGIJZZOhtYyKMMQP1EJvWTbCpVBNufggQYh6O5hC_diTEjf2J_JMyzh02gAie_3JmRG8ehCTaUk3FzGhvDDGHEhMcJ-ZfPIga7rihYyFdPLquroeRm3Fr-7kJ_0IXzH94b6OJ_qZRf,FALSE,HydraGloss™ Botanical Conditioner | KUS CULTURE,Silicone-free botanical conditioner designed to lock cuticle moisture and repair fragile hair strands.,,Health & Beauty > Personal Care > Hair Care > Shampoo & Conditioner,Unisex,Adult (13+ years old),,,,New,FALSE,Hydration,Clean Science,Australian Made,,
,hydragloss-botanical-conditioner,,,,,,,,KC-COND-1000,935000000005,Size,1 Liter,,,,,,,,49.99,55.55,12.00,TRUE,,,,,,shopify,100,DENY,1100,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
FolliGlow™ Peptide Scalp Serum,folliglow-peptide-scalp-serum,<p>High-potency cellular leave-in treatment featuring Biotinoyl Tripeptide-1 and Copper Peptides to awaken dormant hair follicles.</p>,KUS CULTURE,Health & Beauty > Personal Care > Hair Care > Hair Loss Treatments,Serum,"Scalp Care, Peptides, Growth, Follicle Stem, Australian Made",TRUE,active,KC-SER-60,935000000006,Size,60ml,,,,,,,,34.99,39.99,8.50,TRUE,,,,,,shopify,100,DENY,120,g,TRUE,manual,https://lh3.googleusercontent.com/aida-public/AB6AXuDVNzjwzlMRN0DczAP2JeEJYV7ZDAAyU1lyoeILwo_8tzFPAHO52jhGOC08dtWfFoysw5Z-PMn-rXMr4HHnVfgyI0pvwpEo-YV51hrQXyc0kC2yPE5iqRfRSrSUtsbXdksgh5ZASI-cMiZQVFT1auQWklpT9kUQNs_fr6GZBiAHVonokHLHRPaMMiHDS2Dg2AiY2QFFvcBNDVYLR5LZTgqTYmrCVEC6s4eHbClaQDsiOaDWQf1I1Pfk,1,FolliGlow Peptide Scalp Serum 60ml Dropper,https://lh3.googleusercontent.com/aida-public/AB6AXuDVNzjwzlMRN0DczAP2JeEJYV7ZDAAyU1lyoeILwo_8tzFPAHO52jhGOC08dtWfFoysw5Z-PMn-rXMr4HHnVfgyI0pvwpEo-YV51hrQXyc0kC2yPE5iqRfRSrSUtsbXdksgh5ZASI-cMiZQVFT1auQWklpT9kUQNs_fr6GZBiAHVonokHLHRPaMMiHDS2Dg2AiY2QFFvcBNDVYLR5LZTgqTYmrCVEC6s4eHbClaQDsiOaDWQf1I1Pfk,FALSE,FolliGlow™ Peptide Scalp Serum | KUS CULTURE,Clinical leave-in scalp serum formulated with concentrated copper peptides and rosemary CO2 extract.,,Health & Beauty > Personal Care > Hair Care > Hair Loss Treatments,Unisex,Adult (13+ years old),,,,New,FALSE,Hair Growth,Peptides,Australian Made,,
ScalpPure™ Exfoliating Scalp Treatment,scalppure-exfoliating-scalp-treatment,"<p>Purifying scalp detox with fruit AHAs and tea tree hydrosol to eliminate dead skin cells, flakes, and excess sebum.</p>",KUS CULTURE,Health & Beauty > Personal Care > Hair Care > Hair Loss Treatments,Treatment,"Scalp Care, Exfoliating, Clarifying, Anti-Dandruff, Australian Made",TRUE,active,KC-SCALP-100,935000000007,Size,100ml,,,,,,,,28.99,32.99,7.00,TRUE,,,,,,shopify,100,DENY,180,g,TRUE,manual,https://lh3.googleusercontent.com/aida-public/AB6AXuAJ0BD35Xcufmf5UrQjeAtwMs90jWTsuS763ho15iKiCfE7Sn7WCZFhyRz19ZmtGidASZlsXiwKo5D5qir84AUB9GuOX0xxgpTH8FT_1t0FyfmHIRtaQW0UH62o6Fpyol5p_5Mzqol2_Cq8884l6CxrnkBkPKPjFEUMVdTScLbAEyy9v1GVkOPsPK8UVlbPi55zsB0pih3tOIyZsXkMuVRZ4OhZnreUyl7D911AZj12rvwITbF9w_fh,1,ScalpPure Exfoliating Scalp Treatment 100ml Tube,https://lh3.googleusercontent.com/aida-public/AB6AXuAJ0BD35Xcufmf5UrQjeAtwMs90jWTsuS763ho15iKiCfE7Sn7WCZFhyRz19ZmtGidASZlsXiwKo5D5qir84AUB9GuOX0xxgpTH8FT_1t0FyfmHIRtaQW0UH62o6Fpyol5p_5Mzqol2_Cq8884l6CxrnkBkPKPjFEUMVdTScLbAEyy9v1GVkOPsPK8UVlbPi55zsB0pih3tOIyZsXkMuVRZ4OhZnreUyl7D911AZj12rvwITbF9w_fh,FALSE,ScalpPure™ Exfoliating Scalp Treatment | KUS CULTURE,Gentle AHA scalp exfoliating treatment to clear sebum build-up and calm irritated scalp follicles.,,Health & Beauty > Personal Care > Hair Care > Hair Loss Treatments,Unisex,Adult (13+ years old),,,,New,FALSE,Scalp Care,Clarifying,Australian Made,,
The 4-Step Regimen Bundle,complete-4-step-hair-growth-routine,"<p>The ultimate synergistic hair revival protocol. Includes HairRevive Shampoo (500ml), HydraGloss Conditioner (500ml), FolliGlow Serum (60ml), and ScalpPure Treatment (100ml). Saves 19% versus individual items.</p>",KUS CULTURE,Health & Beauty > Personal Care > Hair Care > Hair Care Sets,Bundle,"Bundle, Full Regimen, Bestseller, Hair Growth, Save 19%, Australian Made",TRUE,active,KC-BNDL-4PC,935000000008,Title,Full 4-Piece System,,,,,,,,79.99,97.99,28.00,TRUE,,,,,,shopify,50,DENY,1400,g,TRUE,manual,https://lh3.googleusercontent.com/aida-public/AB6AXuB1gL6-mVaui9-B30BwpFevBZq386tp8sjM5-DEyCDOLpa5zmIx2Bvwdxgu0uj7T3n60Ew0D8aJfhdX3pLhXWGAtgMd9NLiuIjbWwoHI4S8HGEotY01AXc-kSnrHsVPjTsgIkQHH6KxtynYE9X2k3ZCMM7yHsk0ay3ay5axRLx-Fu2f0OEQ4P-31xWFefDq5v8FyXn8Fe1ZXHJmleYe8pHBuB3pCjC0Ck3-RtYoh95k2OxCYtOZdCxn,1,Complete 4-Step Hair Growth Routine Bundle,https://lh3.googleusercontent.com/aida-public/AB6AXuB1gL6-mVaui9-B30BwpFevBZq386tp8sjM5-DEyCDOLpa5zmIx2Bvwdxgu0uj7T3n60Ew0D8aJfhdX3pLhXWGAtgMd9NLiuIjbWwoHI4S8HGEotY01AXc-kSnrHsVPjTsgIkQHH6KxtynYE9X2k3ZCMM7yHsk0ay3ay5axRLx-Fu2f0OEQ4P-31xWFefDq5v8FyXn8Fe1ZXHJmleYe8pHBuB3pCjC0Ck3-RtYoh95k2OxCYtOZdCxn,FALSE,Complete 4-Step Hair Growth Routine | KUS CULTURE,"Full 4-piece clinical botanical hair growth routine bundle. Cleanse, Hydrate, Activate, and Shield.",,Health & Beauty > Personal Care > Hair Care > Hair Care Sets,Unisex,Adult (13+ years old),,,,New,FALSE,Bundle,Growth Protocol,Australian Made,,
