Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
hairrevive-anti-hair-fall-shampoo,HairRevive™ Anti Hair Fall Shampoo,"<p>Targeted hair ecology formula clinically proven to reduce hair fall by 89% and restore thick, voluminous density from follicular root to tip. Dermatologist-approved, hormone-safe, and salon-grade.</p><ul><li>Biotinoyl Tripeptide-1 anchors hair follicles</li><li>Organic Rosemary Extract enhances micro-circulation</li><li>Australian Kakadu Plum neutralizes oxidative stress</li><li>Aloe Vera Hydrosol balances pH to 5.2-5.5</li></ul>",KUS CULTURE,Health & Beauty > Personal Care > Hair Care > Shampoo & Conditioner,Shampoo,"Bestseller, Hair Fall, Sulfate Free, Australian Made, Clean Science, Dermatologist Approved",TRUE,Size,500ml Trial,,,,,KC-SHMP-500,550,shopify,100,deny,manual,24.99,29.99,TRUE,TRUE,,https://lh3.googleusercontent.com/aida-public/AB6AXuBFCR5RYUEWtEvP01b_APRd4TmRQCmm8fj7LR5TxKDIlAprC8TLOJyYpDD6xW_tulRoQF95ZTZ1e6Q877YaiYcjBaPWej6RAzcP592WD7MOJcFMxzM6_l1U-8GzXNzUcHybWbYWCSmLAFSV16Zv5ZCtJswcIrt2uaOObILBILYed2uXtBbmev8dfKQY4ClNfwVb00DexL7sdyJ6HASj-qxWwTaYp7xevk3DXjpPGYL_rbxietzICsZA,1,HairRevive Anti Hair Fall Shampoo 500ml Bottle,FALSE,HairRevive™ Anti Hair Fall Shampoo | KUS CULTURE,Strengthen roots and reduce hair fall by up to 89% with Australian native botanicals and clinical peptides.,544,Unisex,Adult,KC-SHMP-500,New,FALSE,Hair Fall,Clean Science,Australian Made,,,https://lh3.googleusercontent.com/aida-public/AB6AXuBFCR5RYUEWtEvP01b_APRd4TmRQCmm8fj7LR5TxKDIlAprC8TLOJyYpDD6xW_tulRoQF95ZTZ1e6Q877YaiYcjBaPWej6RAzcP592WD7MOJcFMxzM6_l1U-8GzXNzUcHybWbYWCSmLAFSV16Zv5ZCtJswcIrt2uaOObILBILYed2uXtBbmev8dfKQY4ClNfwVb00DexL7sdyJ6HASj-qxWwTaYp7xevk3DXjpPGYL_rbxietzICsZA,g,,6.50,active
hairrevive-anti-hair-fall-shampoo,,,,,,,,Size,1 Liter Popular,,,,,KC-SHMP-1000,1100,shopify,100,deny,manual,49.99,55.55,TRUE,TRUE,,https://lh3.googleusercontent.com/aida-public/AB6AXuDAyGZyDTaBPqqbr5mqoKMdrWI282v2mca-Nze1_lZPuIDuzO3W1rwHJ9imDLbj-VRcFnHPwjqliYxsnQn8092BdKau_BrzQz-I46onNrM1_8CIP4L3A1Ocw6fAix6C9OenDlrj-cH9C8zxk0Bttdr96oxmv5exkAVMPc4F-0Rz_rrZ8v3DEH5V8LWy7dVCFpN6dgLUJCjmLtwNhNMJ0VNd8wJ07u4Y6XTk8gfqFXm7dlpueMUE6Y_Y,2,HairRevive Anti Hair Fall Shampoo 1 Liter Pack,FALSE,,,,,,KC-SHMP-1000,New,FALSE,,,,,,https://lh3.googleusercontent.com/aida-public/AB6AXuDAyGZyDTaBPqqbr5mqoKMdrWI282v2mca-Nze1_lZPuIDuzO3W1rwHJ9imDLbj-VRcFnHPwjqliYxsnQn8092BdKau_BrzQz-I46onNrM1_8CIP4L3A1Ocw6fAix6C9OenDlrj-cH9C8zxk0Bttdr96oxmv5exkAVMPc4F-0Rz_rrZ8v3DEH5V8LWy7dVCFpN6dgLUJCjmLtwNhNMJ0VNd8wJ07u4Y6XTk8gfqFXm7dlpueMUE6Y_Y,g,,12.00,active
hairrevive-anti-hair-fall-shampoo,,,,,,,,Size,1.5 Liter Best Value,,,,,KC-SHMP-1500,1650,shopify,100,deny,manual,84.99,106.24,TRUE,TRUE,,https://lh3.googleusercontent.com/aida-public/AB6AXuBIMR4jzStSYpoO2FfE5lP3y-A3A646Hw8ORRMMQkBxUzpd-7egjsrddXqsCEnHCqP4GGhX7C2QhQKfotuXlioUtVHmw-6fpsFwR8H0z5qRVc3hpIwRLyZEX1JEXjv-IoeZN9-QEKdR-B8UAoswXYImpt7lvqYegxTZ-qNH8MxNO_l-LjJHUKFw8VC17oWJUf_8uAFJ3TPtiE7-QbpERtfe6zHWpCOlEvIiqric0AYpIVIUbEH1eQbe,3,HairRevive Anti Hair Fall Shampoo 1.5 Liter Value Bundle,FALSE,,,,,,KC-SHMP-1500,New,FALSE,,,,,,https://lh3.googleusercontent.com/aida-public/AB6AXuBIMR4jzStSYpoO2FfE5lP3y-A3A646Hw8ORRMMQkBxUzpd-7egjsrddXqsCEnHCqP4GGhX7C2QhQKfotuXlioUtVHmw-6fpsFwR8H0z5qRVc3hpIwRLyZEX1JEXjv-IoeZN9-QEKdR-B8UAoswXYImpt7lvqYegxTZ-qNH8MxNO_l-LjJHUKFw8VC17oWJUf_8uAFJ3TPtiE7-QbpERtfe6zHWpCOlEvIiqric0AYpIVIUbEH1eQbe,g,,20.00,active
hairrevive-anti-hair-fall-shampoo,,,,,,,,,,,,,,,,,,,,,,,,,https://lh3.googleusercontent.com/aida-public/AB6AXuA5dPLbl_9AspIv7g5qv71UWpGLU9i0urV_7FJmao-Tf2CGl0JiCjkxBa38ZVMvAItOV8bImmwc1NLde_H0_LGMeX1hBSUnf6wMTG6qf9D90sxd3Jm6hocybSOu450MbOW1DWjDq811Jyk9A1TOO3ux9hX0WMA08gRy8wXKBb6ORN7-EMs8Cz5prLCLSgSt4P0sBrzSsyD6_3unVbllJ4WAKKe1cvop4egQ38OB9koIWLwOkQK57PeK,4,Shampoo Lather Foam Texture,FALSE,,,,,,,,,,,,,,,,,,active
hairrevive-anti-hair-fall-shampoo,,,,,,,,,,,,,,,,,,,,,,,,,https://lh3.googleusercontent.com/aida-public/AB6AXuCqr6iU4TOOAPfMrnxEUwMEvrBKs6wSFoWwlI6OW5IxmWOO9XaTPl21warGA9hP8m2EPi9-75afPTkusvNNvgCCDeKDEUtKZfP1XyynorcIjZ6ApFC2_Py4X0kjxHksOLnQIwYKKYsO1HvtlEdJkNNgx0AJKQKANelFAnBjRdgkgABu4cYOZSeIH9lOM953PqOWHOWMU3G61tYdets-KxQgeih2zBGPMlySc2QQESPF8E85IP96uokb,5,Customer Unboxing Review,FALSE,,,,,,,,,,,,,,,,,,active
hydragloss-botanical-conditioner,HydraGloss™ Botanical Conditioner,<p>Deeply restores lipid cuticles and locks in moisture without synthetic silicones. Infused with cold-pressed Macadamia nut oil and Australian Kakadu Plum.</p>,KUS CULTURE,Health & Beauty > Personal Care > Hair Care > Shampoo & Conditioner,Conditioner,"Hydration, Hair Fall, Cuticle Balm, Silicone Free, Australian Made",TRUE,Size,500ml,,,,,KC-COND-500,550,shopify,100,deny,manual,24.99,29.99,TRUE,TRUE,,https://lh3.googleusercontent.com/aida-public/AB6AXuA6Ch6JhvqWpjEmLKH3RnIYV5p4b0-yw8smXCXncRroeKINvitHZaaMtw5T21jm_5bBb9Ox_zkVz8z83cALejUyo1b0ZEWhe8gG98OHujcCacXGIJZZOhtYyKMMQP1EJvWTbCpVBNufggQYh6O5hC_diTEjf2J_JMyzh02gAie_3JmRG8ehCTaUk3FzGhvDDGHEhMcJ-ZfPIga7rihYyFdPLquroeRm3Fr-7kJ_0IXzH94b6OJ_qZRf,1,HydraGloss Botanical Conditioner 500ml Bottle,FALSE,HydraGloss™ Botanical Conditioner | KUS CULTURE,Silicone-free botanical conditioner designed to lock cuticle moisture and repair fragile hair strands.,544,Unisex,Adult,KC-COND-500,New,FALSE,Hydration,Clean Science,Australian Made,,,https://lh3.googleusercontent.com/aida-public/AB6AXuA6Ch6JhvqWpjEmLKH3RnIYV5p4b0-yw8smXCXncRroeKINvitHZaaMtw5T21jm_5bBb9Ox_zkVz8z83cALejUyo1b0ZEWhe8gG98OHujcCacXGIJZZOhtYyKMMQP1EJvWTbCpVBNufggQYh6O5hC_diTEjf2J_JMyzh02gAie_3JmRG8ehCTaUk3FzGhvDDGHEhMcJ-ZfPIga7rihYyFdPLquroeRm3Fr-7kJ_0IXzH94b6OJ_qZRf,g,,6.50,active
hydragloss-botanical-conditioner,,,,,,,,Size,1 Liter,,,,,KC-COND-1000,1100,shopify,100,deny,manual,49.99,55.55,TRUE,TRUE,,,,,FALSE,,,,,,KC-COND-1000,New,FALSE,,,,,,,g,,12.00,active
folliglow-peptide-scalp-serum,FolliGlow™ Peptide Scalp Serum,<p>High-potency cellular leave-in treatment featuring Biotinoyl Tripeptide-1 and Copper Peptides to awaken dormant hair follicles.</p>,KUS CULTURE,Health & Beauty > Personal Care > Hair Care > Hair Loss Treatments,Serum,"Scalp Care, Peptides, Growth, Follicle Stem, Australian Made",TRUE,Size,60ml,,,,,KC-SER-60,120,shopify,100,deny,manual,34.99,39.99,TRUE,TRUE,,https://lh3.googleusercontent.com/aida-public/AB6AXuDVNzjwzlMRN0DczAP2JeEJYV7ZDAAyU1lyoeILwo_8tzFPAHO52jhGOC08dtWfFoysw5Z-PMn-rXMr4HHnVfgyI0pvwpEo-YV51hrQXyc0kC2yPE5iqRfRSrSUtsbXdksgh5ZASI-cMiZQVFT1auQWklpT9kUQNs_fr6GZBiAHVonokHLHRPaMMiHDS2Dg2AiY2QFFvcBNDVYLR5LZTgqTYmrCVEC6s4eHbClaQDsiOaDWQf1I1Pfk,1,FolliGlow Peptide Scalp Serum 60ml Dropper,FALSE,FolliGlow™ Peptide Scalp Serum | KUS CULTURE,Clinical leave-in scalp serum formulated with concentrated copper peptides and rosemary CO2 extract.,544,Unisex,Adult,KC-SER-60,New,FALSE,Hair Growth,Peptides,Australian Made,,,https://lh3.googleusercontent.com/aida-public/AB6AXuDVNzjwzlMRN0DczAP2JeEJYV7ZDAAyU1lyoeILwo_8tzFPAHO52jhGOC08dtWfFoysw5Z-PMn-rXMr4HHnVfgyI0pvwpEo-YV51hrQXyc0kC2yPE5iqRfRSrSUtsbXdksgh5ZASI-cMiZQVFT1auQWklpT9kUQNs_fr6GZBiAHVonokHLHRPaMMiHDS2Dg2AiY2QFFvcBNDVYLR5LZTgqTYmrCVEC6s4eHbClaQDsiOaDWQf1I1Pfk,g,,8.50,active
scalppure-exfoliating-scalp-treatment,ScalpPure™ Exfoliating Scalp Treatment,"<p>Purifying scalp detox with fruit AHAs and tea tree hydrosol to eliminate dead skin cells, flakes, and excess sebum.</p>",KUS CULTURE,Health & Beauty > Personal Care > Hair Care > Hair Loss Treatments,Treatment,"Scalp Care, Exfoliating, Clarifying, Anti-Dandruff, Australian Made",TRUE,Size,100ml,,,,,KC-SCALP-100,180,shopify,100,deny,manual,28.99,32.99,TRUE,TRUE,,https://lh3.googleusercontent.com/aida-public/AB6AXuAJ0BD35Xcufmf5UrQjeAtwMs90jWTsuS763ho15iKiCfE7Sn7WCZFhyRz19ZmtGidASZlsXiwKo5D5qir84AUB9GuOX0xxgpTH8FT_1t0FyfmHIRtaQW0UH62o6Fpyol5p_5Mzqol2_Cq8884l6CxrnkBkPKPjFEUMVdTScLbAEyy9v1GVkOPsPK8UVlbPi55zsB0pih3tOIyZsXkMuVRZ4OhZnreUyl7D911AZj12rvwITbF9w_fh,1,ScalpPure Exfoliating Scalp Treatment 100ml Tube,FALSE,ScalpPure™ Exfoliating Scalp Treatment | KUS CULTURE,Gentle AHA scalp exfoliating treatment to clear sebum build-up and calm irritated scalp follicles.,544,Unisex,Adult,KC-SCALP-100,New,FALSE,Scalp Care,Clarifying,Australian Made,,,https://lh3.googleusercontent.com/aida-public/AB6AXuAJ0BD35Xcufmf5UrQjeAtwMs90jWTsuS763ho15iKiCfE7Sn7WCZFhyRz19ZmtGidASZlsXiwKo5D5qir84AUB9GuOX0xxgpTH8FT_1t0FyfmHIRtaQW0UH62o6Fpyol5p_5Mzqol2_Cq8884l6CxrnkBkPKPjFEUMVdTScLbAEyy9v1GVkOPsPK8UVlbPi55zsB0pih3tOIyZsXkMuVRZ4OhZnreUyl7D911AZj12rvwITbF9w_fh,g,,7.00,active
complete-4-step-hair-growth-routine,Complete 4-Step Hair Growth Routine,"<p>The ultimate synergistic hair revival protocol. Includes HairRevive Shampoo (500ml), HydraGloss Conditioner (500ml), FolliGlow Serum (60ml), and ScalpPure Treatment (100ml). Saves 19% versus individual items.</p>",KUS CULTURE,Health & Beauty > Personal Care > Hair Care > Hair Care Sets,Bundle,"Bundle, Full Regimen, Bestseller, Hair Growth, Save 19%, Australian Made",TRUE,Title,Full 4-Piece System,,,,,KC-BNDL-4PC,1400,shopify,50,deny,manual,79.99,97.99,TRUE,TRUE,,https://lh3.googleusercontent.com/aida-public/AB6AXuB1gL6-mVaui9-B30BwpFevBZq386tp8sjM5-DEyCDOLpa5zmIx2Bvwdxgu0uj7T3n60Ew0D8aJfhdX3pLhXWGAtgMd9NLiuIjbWwoHI4S8HGEotY01AXc-kSnrHsVPjTsgIkQHH6KxtynYE9X2k3ZCMM7yHsk0ay3ay5axRLx-Fu2f0OEQ4P-31xWFefDq5v8FyXn8Fe1ZXHJmleYe8pHBuB3pCjC0Ck3-RtYoh95k2OxCYtOZdCxn,1,Complete 4-Step Hair Growth Routine Bundle,FALSE,Complete 4-Step Hair Growth Routine | KUS CULTURE,"Full 4-piece clinical botanical hair growth routine bundle. Cleanse, Hydrate, Activate, and Shield.",544,Unisex,Adult,KC-BNDL-4PC,New,FALSE,Bundle,Growth Protocol,Australian Made,,,https://lh3.googleusercontent.com/aida-public/AB6AXuB1gL6-mVaui9-B30BwpFevBZq386tp8sjM5-DEyCDOLpa5zmIx2Bvwdxgu0uj7T3n60Ew0D8aJfhdX3pLhXWGAtgMd9NLiuIjbWwoHI4S8HGEotY01AXc-kSnrHsVPjTsgIkQHH6KxtynYE9X2k3ZCMM7yHsk0ay3ay5axRLx-Fu2f0OEQ4P-31xWFefDq5v8FyXn8Fe1ZXHJmleYe8pHBuB3pCjC0Ck3-RtYoh95k2OxCYtOZdCxn,g,,28.00,active
